MaSP,TenSP,SoLuongTon,MoTa,Gia
SP70442388,Muc khoai tay 696,224,Hinh anh bat mat,545390
SP59047873,Snack bap 911,300,,697312
SP44538558,Kem thanh long 388,215,,467623
SP80179321,Banh vai thieu 288,254,,354097
SP86894300,Nuoc bap 667,352,Mau ma đep,108452
SP99424178,Banh dau 568,793,,376211
SP57814134,Snack dau 135,820,Mau sac tuoi tan,28742
SP15236546,Nuoc nhan 368,290,,312583
SP58189969,Banh buoi 971,500,,576506
SP93526093,Muc khoai tim 213,153,,28677
SP14502264,Muc thanh long 155,406,Thom ngon bo duong,651761
SP35389926,Nuoc man 337,513,,223287
SP43194914,Banh cam 883,489,San pham tot,302194
SP76456258,Nuoc vai thieu 781,204,,697219
SP30529164,Nuoc cam 413,561,,375128
SP30885533,Nuoc mo 689,522,,845880
SP96139647,Muc thanh long 629,771,Hinh anh bat mat,356242
SP43034912,Banh nhan 701,533,,262042
SP54081852,Muc khoai tim 954,417,Thom ngon bo duong,966783
SP39817039,Kem man 778,653,,932905
SP51193322,Snack khoai tay 350,534,,411509
SP27561133,Snack chuoi 535,933,,530363
SP29320374,Snack dau 710,366,Mau sac tuoi tan,440298
SP83219122,Banh khoai tim 773,768,,389716
SP88804249,Sua buoi 968,410,San pham tot,70304
SP29318322,Snack vai thieu 751,123,,667582
SP31729800,Kem rong bien 611,635,,258535
SP89993544,Kem dau 205,511,,762310
SP12158972,Nuoc bap 697,788,Than thien voi moi truong,21869
SP71953865,Muc rong bien 592,302,,151087
SP55877188,Muc man 863,416,Kieu dang tien loi,956182
SP65878702,Nuoc nhan 792,301,,989441
SP27194183,Snack khoai tay 206,278,,881850
SP87608995,Muc dau 686,446,,152477
SP78352783,Nuoc khoai tay 329,994,Kieu dang tien loi,37351
SP54803646,Banh nhan 736,443,,743767
SP27936454,Kem xooai 152,731,Hinh anh bat mat,831966
SP38257318,Sua nho 531,804,,765530
SP71501624,Snack cam 987,742,,477678
SP11712887,Banh bap 725,733,,352370
SP11297074,Nuoc khoai tim 166,111,Than thien voi moi truong,411766
SP24823393,Nuoc khoai tim 592,640,,554226
SP98679380,Nuoc nho 167,762,Than thien voi moi truong,747178
SP83114376,Banh man 957,480,,211562
SP62500403,Kem bo 698,616,,517617
SP41179445,Kem dau 876,974,,532017
SP38950316,Kem cam 269,151,Than thien voi moi truong,56395
SP71761400,Nuoc thanh long 710,746,,542487
SP14024763,Snack đao 858,578,Than thien voi moi truong,596655
SP91986910,Muc dua 693,981,,151566
SP33358922,Snack bo 983,924,,505480
SP89827618,Nuoc xooai 311,978,,785338
SP24705777,Muc khoai tim 781,426,Phu hop voi gia tien,432132
SP52668261,Snack vai thieu 576,897,,416331
SP80931439,Nuoc nhan 507,877,Mau ma đep,481888
SP70173842,Snack dua 358,216,,363695
SP43824634,Muc dau 483,313,,604177
SP76615924,Nuoc nhan 502,305,,926481
SP55913378,Banh bap 280,960,Kieu dang tien loi,208832
SP97939676,Snack man 306,575,,234723
SP36632348,Nuoc dua 412,203,Ngon bo re,483704
SP92900973,Muc bo 443,527,,522588
SP34847763,Sua mo 713,725,,576909
SP77217717,Kem buoi 832,510,,854658
SP12377433,Banh nhan 529,991,Phu hop voi gia tien,402671
SP44119213,Muc dau 894,758,,505895
SP55457141,Snack nhan 659,337,Ngon bo re,179648
SP27549875,Snack bap 247,422,,242857
SP74974356,Sua man 291,734,,906807
SP98077224,Nuoc bo 754,773,,489380
SP94255090,Muc nhan 523,431,Phu hop voi gia tien,535269
SP53880190,Banh bap 970,317,,996946
SP24305754,Sua thanh long 539,119,Ngon bo re,350758
SP40773742,Nuoc dau 620,366,,206628
SP83170775,Kem buoi 220,979,,735578
SP63907063,Snack xooai 300,562,,428230
SP96767169,Banh nhan 964,783,Mau sac tuoi tan,72686
SP98681248,Kem đao 593,642,,688769
SP95635047,Kem nhan 900,323,Than thien voi moi truong,617612
SP13110720,Muc dau 522,237,,680731
SP21144515,Banh bap 829,431,,465884
SP75898749,Banh chuoi 314,195,,766779
SP28266841,Muc hong xiem 835,845,Phu hop voi gia tien,542582
SP95478634,Muc mo 798,185,,457922
SP14284092,Snack nhan 139,466,Hinh anh bat mat,190713
SP52159693,Banh bap 863,775,,209055
SP67354154,Kem bap 443,674,,706347
SP64703682,Sua xooai 875,976,,888607
SP17066364,Muc rong bien 706,528,Co ich cho suc khoe,855598
SP63761152,Snack mang cut 475,706,,437118
SP70281360,Kem bap 897,448,San pham tot,557536
SP41670330,Nuoc mang cut 314,193,,323936
SP34562731,Snack bap 588,795,,954006
SP33815383,Nuoc cam 191,637,,359966
SP59541358,Muc bo 630,493,Phu hop voi gia tien,553031
SP71322854,Banh xooai 726,670,,290696
SP21625404,Kem nhan 258,676,Hinh anh bat mat,39996
SP64406237,Nuoc vai thieu 216,855,,945805
SP61306517,Sua nhan 842,183,,456218
SP62778420,Banh khoai tim 470,662,,599255
SP82239074,Banh rong bien 705,146,Thom ngon bo duong,784448
SP66325392,Sua thanh long 385,410,,788112
SP35460911,Snack dau 328,673,Hinh anh bat mat,190720
SP17536216,Muc khoai tim 945,650,,841336
SP71939015,Snack thanh long 919,933,,512027
SP75111174,Sua bo 879,593,,977173
SP47331384,Snack sau rieng 506,664,Kieu dang tien loi,912568
SP73498433,Sua khoai tim 788,210,,610112
SP49454221,Snack mang cut 280,797,Mau sac tuoi tan,998379
SP40599704,Sua bo 503,634,,472959
SP15197160,Banh xooai 201,500,,202597
SP31535830,Sua khoai tay 403,656,,42306
SP95635592,Snack mo 916,535,Mau sac tuoi tan,46905
SP75888379,Sua man 346,505,,748272
SP74950177,Sua vai thieu 693,398,Mau ma đep,674645
SP46916537,Muc sau rieng 545,777,,189539
SP64453272,Banh buoi 680,171,,204849
SP83475865,Sua nhan 193,781,,811002
SP24759094,Nuoc nho 819,759,Hinh anh bat mat,800240
SP80703207,Kem vai thieu 649,194,,46873
SP48477466,Nuoc nhan 759,688,Kieu dang tien loi,61358
SP62564422,Banh thanh long 122,933,,197880
SP57933339,Snack đao 869,199,,124920
SP52181361,Muc nhan 471,285,,107331
SP30677937,Muc nhan 580,676,Thom ngon bo duong,524809
SP71764686,Muc xooai 363,265,,157773
SP91848144,Sua cam 266,933,Ngon bo re,969652
SP36653013,Sua đao 496,876,,384491
SP89565794,Banh thanh long 669,944,,572711
SP85616800,Muc dau 314,772,,135592
SP38746856,Banh bap 753,402,Mau sac tuoi tan,925919
SP15692052,Sua chuoi 584,157,,501959
SP45237447,Kem mo 619,424,Mau sac tuoi tan,279335
SP19057807,Nuoc dua 183,470,,673318
SP59099358,Nuoc nhan 942,767,,717926
SP98188173,Snack thanh long 973,318,,355668
SP94260258,Nuoc đao 832,365,Thom ngon bo duong,428256
SP69679343,Snack quyt 870,493,,706120
SP87621061,Nuoc buoi 402,751,Kieu dang tien loi,699606
SP94883234,Muc thanh long 656,985,,694798
SP82683046,Banh hong xiem 117,408,,485472
SP65194502,Sua cam 916,686,,479682
SP88913886,Nuoc dua 470,974,Ngon bo re,777673
SP86283145,Nuoc dau 638,704,,907852
SP84851798,Muc bo 207,703,San pham tot,152267
SP31011194,Nuoc chuoi 531,225,,167595
SP14033671,Kem man 991,259,,447020
SP65107093,Sua đao 614,752,,988902
SP29649447,Muc nhan 191,350,San pham tot,824432
SP79810863,Sua mang cut 361,131,,619764
SP76427125,Sua khoai tim 733,703,Hinh anh bat mat,131062
SP79619429,Muc chuoi 205,790,,242524
SP62610812,Banh bo 372,907,,268954
SP16742484,Muc nhan 690,467,,952620
SP95498602,Kem thanh long 821,821,Ngon bo re,788631
SP86475759,Snack vai thieu 977,923,,288553
SP64837025,Banh man 244,606,San pham tot,524122
SP78294548,Muc dua 251,604,,644270
SP71447212,Sua chuoi 519,176,,294928
SP46347827,Banh dua 198,168,,451897
SP82811051,Kem đao 967,668,Co ich cho suc khoe,406497
SP88372991,Sua bo 645,589,,216963
SP56597311,Kem sau rieng 437,906,Mau sac tuoi tan,412927
SP35415966,Snack man 104,682,,634855
SP19976691,Banh cam 623,427,,25341
SP25291070,Banh bo 152,176,,335777
SP54388835,Banh khoai tim 337,348,Co ich cho suc khoe,485718
SP85178962,Sua nho 520,601,,314034
SP76001124,Muc bap 601,191,San pham tot,577892
SP76255636,Sua vai thieu 835,656,,450281
SP53107907,Kem nhan 880,833,,267506
SP16096307,Snack dua 637,459,,586617
SP17718097,Banh thanh long 697,130,Co ich cho suc khoe,948295
SP73930673,Sua thanh long 921,342,,531497
SP74729411,Sua mang cut 236,121,Hinh anh bat mat,385044
SP11120423,Nuoc chuoi 837,366,,210832
SP35223106,Snack man 218,566,,660085
SP49643057,Sua đao 972,169,,559144
SP32687855,Snack mang cut 852,997,Ngon bo re,184433
SP30876708,Nuoc sau rieng 926,507,,215517
SP45778589,Nuoc khoai tay 949,902,Phu hop voi gia tien,696999
SP33386538,Sua dau 904,607,,990247
SP12136446,Nuoc mang cut 636,872,,363911
SP28414909,Nuoc mo 483,504,,415476
SP42508200,Banh cam 817,974,Mau sac tuoi tan,388591
SP75756283,Muc thanh long 154,902,,795870
SP47057592,Nuoc nhan 260,433,Co ich cho suc khoe,802900
SP66277328,Banh khoai tay 952,556,,59696
SP75320856,Muc nhan 355,331,,763641
SP84016920,Snack bo 618,373,,830883
SP95665562,Kem bo 184,287,Hinh anh bat mat,513288
SP39288314,Kem xooai 587,840,,716035
SP80962808,Snack khoai tay 919,162,Hinh anh bat mat,537082
SP41297606,Sua xooai 196,376,,527700
SP27244090,Muc chuoi 918,123,,939515
SP77685604,Snack nho 502,146,,830200
SP28786601,Nuoc rong bien 118,497,Thom ngon bo duong,293606
SP83760005,Snack mang cut 569,970,,705802
SP37515636,Snack sau rieng 426,326,Phu hop voi gia tien,861894
SP24716956,Kem vai thieu 438,117,,704408
SP33625069,Snack mo 147,159,,243625
SP83208921,Muc rong bien 330,205,,767847
SP83456183,Nuoc chuoi 846,914,Ngon bo re,49283
SP49342922,Snack khoai tim 714,942,,342294
SP86655480,Muc khoai tay 958,610,Mau ma đep,766944
SP84566868,Snack nho 560,822,,555618
SP99660497,Sua nho 910,257,,822279
SP37813845,Sua khoai tim 325,656,,849639
SP83224007,Snack quyt 949,645,Kieu dang tien loi,179490
SP73542484,Muc chuoi 259,475,,718475
SP67273417,Muc bap 186,309,Ngon bo re,150889
SP44149429,Snack sau rieng 499,180,,604511
SP86411464,Nuoc khoai tim 181,332,,759170
SP33973551,Banh thanh long 102,457,,798303
SP95105584,Nuoc thanh long 952,423,Thom ngon bo duong,55730
SP42613415,Nuoc dau 562,482,,823463
SP46684273,Sua cam 695,565,Thom ngon bo duong,637071
SP74565108,Muc khoai tim 302,998,,684584
SP47669945,Kem rong bien 618,402,,729573
SP56988975,Muc nho 593,979,,881396
SP67643637,Sua chuoi 990,925,Co ich cho suc khoe,109513
SP75051648,Banh man 291,206,,849711
SP44275170,Kem quyt 641,427,Than thien voi moi truong,676367
SP42250219,Kem nho 874,198,,407924
SP36157145,Nuoc man 681,266,,218764
SP86448349,Kem quyt 847,481,,530096
SP53695308,Kem xooai 354,213,Kieu dang tien loi,142511
SP32619202,Muc bo 351,254,,41894
SP96198515,Nuoc vai thieu 589,665,Thom ngon bo duong,657105
SP59328316,Banh dau 405,843,,503262
SP41592709,Muc khoai tay 897,651,,560839
SP53606470,Sua nhan 703,161,,988000
SP44930041,Banh khoai tim 217,845,San pham tot,291537
SP35310543,Snack rong bien 276,383,,482181
SP95492185,Snack hong xiem 226,449,San pham tot,699140
SP61607011,Kem cam 195,488,,194069
SP56596497,Kem thanh long 561,930,,488447
SP84289861,Muc quyt 629,453,,310764
SP58734342,Muc khoai tim 773,714,Kieu dang tien loi,807876
SP38222373,Sua thanh long 930,583,,692275
SP28851293,Snack bap 925,572,Kieu dang tien loi,687531
SP26969416,Snack bo 819,486,,912168
SP73631713,Muc mang cut 184,953,,718524
SP78857440,Kem vai thieu 219,233,,567443
SP86263367,Snack nho 417,625,Mau ma đep,565015
SP36170054,Banh quyt 953,347,,289627
SP25099684,Snack chuoi 412,584,Ngon bo re,765365
SP28779674,Snack rong bien 341,713,,138385
SP61292253,Muc dua 253,420,,798592
SP55429994,Muc thanh long 388,430,,182454
SP87498222,Kem hong xiem 639,927,Kieu dang tien loi,664170
SP20410843,Snack đao 224,228,,377245
SP18844215,Muc chuoi 199,887,Thom ngon bo duong,704626
SP32896242,Kem hong xiem 791,162,,947086
SP79659798,Snack buoi 635,152,,293731
SP83716543,Banh nhan 892,160,,120472
SP28843370,Snack quyt 564,413,Phu hop voi gia tien,513846
SP59563454,Nuoc chuoi 334,482,,807591
SP94745479,Muc nhan 877,840,Co ich cho suc khoe,650242
SP57607328,Kem quyt 937,128,,266525
SP54171677,Muc bap 403,169,,784341
SP51486627,Sua đao 732,746,,877931
SP95407446,Banh dau 844,606,Hinh anh bat mat,378493
SP86680447,Sua hong xiem 411,411,,885053
SP94995809,Sua buoi 881,813,Thom ngon bo duong,133280
SP87263428,Nuoc quyt 696,894,,974472
SP91359721,Sua đao 456,444,,606098
SP55540622,Snack buoi 426,651,,664329
SP63463442,Snack xooai 819,424,Mau ma đep,343029
SP61871232,Snack cam 557,940,,59821
SP42991699,Banh khoai tim 960,865,Co ich cho suc khoe,495631
SP75217787,Banh man 132,556,,299114
SP66034414,Kem quyt 951,174,,230075
SP66056321,Banh dau 899,518,,548693
SP34024765,Banh nhan 267,967,Ngon bo re,133153
SP71443858,Kem đao 425,774,,732812
SP35500639,Snack nho 384,958,Mau sac tuoi tan,960791
SP49262602,Sua rong bien 457,986,,436222
SP42135185,Banh nho 678,319,,39061
SP41578716,Banh rong bien 130,545,,577261
SP86236641,Nuoc nhan 378,711,Thom ngon bo duong,370341
SP95338526,Banh khoai tay 853,959,,672481
SP86539129,Muc thanh long 156,281,Kieu dang tien loi,756762
SP76116916,Banh bo 209,741,,136008
SP69153113,Sua mang cut 146,166,,719778
SP86222460,Muc bo 458,477,,407487
SP87335978,Kem mo 216,560,Mau sac tuoi tan,828966
SP57944600,Snack mang cut 294,504,,381642
SP87035496,Banh man 719,164,Than thien voi moi truong,253753
SP82560148,Sua khoai tim 757,369,,333626
SP50864417,Nuoc bo 266,698,,617883
SP27741296,Nuoc thanh long 469,261,,707035
SP30487928,Snack rong bien 779,560,Ngon bo re,960877
SP67566564,Snack nhan 923,750,,583746
SP53008973,Banh đao 208,722,Mau ma đep,269587
SP67324940,Sua man 647,401,,854779
SP33434809,Kem dua 127,432,,399102
SP24732614,Snack dau 335,410,,451231
SP36881710,Snack rong bien 190,651,Co ich cho suc khoe,805905
SP92440992,Snack đao 673,515,,215532
SP61313915,Nuoc sau rieng 550,209,Hinh anh bat mat,335787
SP55129578,Kem quyt 255,625,,106264
SP67311756,Banh mang cut 873,582,,133385
SP89891309,Muc mo 801,473,,84355
SP77747336,Muc xooai 197,836,Co ich cho suc khoe,49984
SP73864536,Nuoc quyt 448,451,,949358
SP62653969,Nuoc bap 669,735,Hinh anh bat mat,300518
SP94522278,Snack khoai tay 892,867,,687409
SP25035621,Banh vai thieu 719,977,,809829
SP90491328,Kem nhan 557,110,,405183
SP70919824,Banh nho 881,402,Co ich cho suc khoe,67921
SP26202099,Banh rong bien 676,553,,854777
SP65840823,Muc bo 833,834,Kieu dang tien loi,38654
SP42134859,Muc đao 856,285,,143218
SP87208715,Kem nho 567,706,,678453
SP22879018,Nuoc nhan 489,987,,628400
SP63854951,Muc chuoi 792,790,Ngon bo re,402543
SP51845058,Nuoc bap 860,360,,320033
SP33278377,Snack thanh long 220,820,Phu hop voi gia tien,141106
SP88696157,Muc xooai 516,961,,37696
SP78551801,Nuoc khoai tay 516,663,,927254
SP74768421,Muc buoi 427,733,,460570
SP18595037,Muc khoai tay 397,823,Co ich cho suc khoe,455484
SP65402523,Nuoc khoai tim 821,965,,823806
SP22554007,Nuoc khoai tim 528,299,Mau ma đep,642531
SP63219199,Kem mang cut 160,663,,349911
SP97763049,Muc bo 221,123,,456613
SP42776877,Muc đao 291,353,,158534
SP62539583,Sua hong xiem 982,341,Hinh anh bat mat,897384
SP86989846,Sua khoai tay 268,553,,338415
SP62800174,Sua hong xiem 667,654,Mau sac tuoi tan,518774
SP82196688,Sua vai thieu 719,233,,280436
SP96025858,Muc đao 125,685,,778556
SP44323486,Muc đao 625,508,,214945
SP28426550,Banh dua 649,823,Phu hop voi gia tien,820877
SP61716227,Kem xooai 261,823,,694692
SP63278228,Snack dua 869,621,Thom ngon bo duong,979821
SP52419256,Sua khoai tay 402,471,,488926
SP30814310,Banh nhan 730,591,,894495
SP71763910,Kem khoai tim 151,255,,836987
SP90490941,Kem thanh long 205,446,Mau ma đep,542771
SP57300188,Nuoc dua 230,361,,249437
SP30742937,Snack cam 152,999,Mau ma đep,594606
SP69713936,Muc mo 839,360,,126841
SP32036717,Snack mang cut 146,955,,138607
SP91983612,Snack bo 504,107,,549228
SP53997643,Nuoc nhan 354,167,Mau sac tuoi tan,813801
SP21863199,Snack khoai tim 785,881,,754829
SP14891366,Sua khoai tim 355,327,Mau ma đep,523292
SP55890139,Sua nhan 251,215,,580822
SP98512083,Sua dua 615,407,,161981
SP40833874,Kem xooai 260,847,,926004
SP74601791,Sua rong bien 518,292,Phu hop voi gia tien,159505
SP36206148,Sua hong xiem 898,916,,625388
SP93195314,Muc nhan 111,841,Thom ngon bo duong,285575
SP21354644,Snack thanh long 817,778,,743760
SP80223386,Muc hong xiem 309,494,,38610
SP41248192,Sua bo 1000,303,,182641
SP14026783,Banh xooai 295,490,Ngon bo re,429560
SP43610442,Muc xooai 860,269,,832371
SP91695581,Nuoc dau 917,886,San pham tot,667320
SP17726513,Muc thanh long 273,751,,607743
SP38306196,Banh rong bien 617,316,,174961
SP79187579,Nuoc khoai tay 643,145,,520873
SP36298592,Kem dua 505,148,Than thien voi moi truong,30029
SP78352943,Banh vai thieu 252,672,,461066
SP21228085,Banh quyt 321,515,Kieu dang tien loi,52352
SP27951304,Muc khoai tim 820,652,,560368
SP92017729,Snack rong bien 776,416,,656030
SP45925931,Nuoc thanh long 867,233,,165715
SP43787775,Kem man 420,852,Phu hop voi gia tien,332442
SP54336128,Sua rong bien 544,165,,597934
SP44876748,Banh xooai 473,791,Ngon bo re,14932
SP60872076,Banh cam 358,445,,81121
SP33319504,Banh nho 602,883,,790628
SP76338516,Sua hong xiem 262,594,,224294
SP92051784,Kem chuoi 504,196,Than thien voi moi truong,578747
SP21049784,Kem dua 427,793,,822744
SP77841273,Sua thanh long 495,241,Than thien voi moi truong,716862
SP57494713,Muc rong bien 708,945,,257364
SP82380232,Kem hong xiem 681,208,,524155
SP85582885,Banh dua 518,554,,574838
SP33892112,Banh sau rieng 630,158,Ngon bo re,130543
SP86851460,Muc dau 249,995,,167977
SP75837552,Kem rong bien 179,321,Mau sac tuoi tan,105556
SP20326377,Snack xooai 544,570,,876411
SP48727818,Banh quyt 767,764,,231033
SP51955868,Kem rong bien 641,769,,578955
SP96132197,Nuoc cam 363,659,Hinh anh bat mat,296672
SP48199757,Nuoc đao 294,230,,374586
SP48630040,Snack dau 481,152,Kieu dang tien loi,680777
SP82510310,Muc chuoi 663,132,,403374
SP60853968,Snack nho 441,180,,245962
SP60412902,Nuoc nhan 717,614,,254995
SP46691685,Muc nho 561,903,Than thien voi moi truong,835887
SP73507769,Muc bo 551,670,,993056
SP80634382,Snack buoi 693,672,Thom ngon bo duong,876641
SP65804890,Banh sau rieng 565,323,,426328
SP44368988,Snack mo 514,895,,473415
SP63850537,Snack chuoi 850,993,,527387
SP13866329,Kem dau 560,761,Kieu dang tien loi,211332
SP54094754,Sua mo 233,861,,863144
SP81584629,Sua nhan 998,485,Ngon bo re,20369
SP95919822,Kem man 944,187,,637152
SP62399168,Banh mang cut 942,582,,830750
SP26486262,Banh vai thieu 659,584,,595274
SP60558968,Sua nhan 887,292,Mau sac tuoi tan,660094
SP38969253,Muc man 436,712,,410904
SP11788293,Sua hong xiem 367,241,San pham tot,509064
SP69210519,Nuoc bap 116,340,,205029
SP36058477,Nuoc hong xiem 280,551,,520114
SP60141185,Banh rong bien 412,128,,761476
SP60488584,Sua quyt 183,866,Co ich cho suc khoe,250081
SP84711485,Snack bap 530,418,,638225
SP24455742,Muc nhan 110,315,Mau ma đep,81282
SP23248336,Snack nho 554,506,,329757
SP14854285,Banh hong xiem 534,182,,464020
SP85926055,Muc vai thieu 839,606,,341209
SP27637113,Snack nho 802,121,Thom ngon bo duong,587264
SP39498122,Kem nhan 498,446,,478711
SP54619397,Snack đao 576,291,Hinh anh bat mat,369532
SP60521790,Banh dua 257,656,,217623
SP45753151,Muc thanh long 228,263,,747539
SP97156828,Nuoc hong xiem 588,164,,392071
SP76082348,Sua dau 398,478,Hinh anh bat mat,943878
SP47204188,Banh cam 377,822,,831635
SP41391203,Kem man 659,554,Co ich cho suc khoe,466599
SP87820299,Muc vai thieu 376,897,,600658
SP65234376,Snack khoai tay 663,181,,536798
SP34239074,Kem khoai tay 481,213,,653831
SP71911676,Banh quyt 282,322,Than thien voi moi truong,714688
SP44017320,Banh quyt 574,654,,728334
SP79248966,Snack khoai tay 697,288,Kieu dang tien loi,647730
SP35898386,Muc nhan 966,159,,392637
SP95518002,Nuoc mang cut 370,632,,752711
SP89930532,Sua bap 346,878,,150994
SP52662862,Banh nhan 888,291,Co ich cho suc khoe,210287
SP84070203,Banh khoai tay 597,156,,555963
SP97193910,Snack buoi 191,738,Ngon bo re,49047
SP40873224,Banh mang cut 419,163,,251552
SP39449162,Muc sau rieng 644,958,,708327
SP22987304,Nuoc bo 873,346,,154103
SP42135452,Muc mang cut 880,760,Ngon bo re,296616
SP23803400,Muc mang cut 158,282,,809792
SP10351060,Nuoc dau 713,511,Kieu dang tien loi,287964
SP11216783,Nuoc buoi 699,246,,788841
SP75889804,Banh cam 758,366,,630471
SP90949880,Muc bo 815,838,,570717
SP77047801,Kem mang cut 980,889,Mau sac tuoi tan,324357
SP84760692,Banh hong xiem 258,723,,656059
SP27405774,Banh mang cut 255,788,Mau sac tuoi tan,845142
SP66176460,Kem khoai tim 558,644,,687729
SP30335724,Snack bo 922,992,,823202
SP34110154,Sua mang cut 440,709,,766814
SP60262430,Muc mo 119,295,Kieu dang tien loi,173390
SP94091288,Kem xooai 412,269,,65094
SP60910261,Snack mang cut 662,777,Mau ma đep,881579
SP62862047,Snack vai thieu 739,192,,726929
SP26196764,Nuoc mo 483,223,,209950
SP36969289,Sua vai thieu 235,808,,111733
SP27810682,Sua bap 843,396,Phu hop voi gia tien,988405
SP83533478,Snack thanh long 284,327,,95350
SP47240302,Nuoc nhan 497,307,Kieu dang tien loi,575708
SP97233140,Muc khoai tim 966,968,,424872
SP53547525,Sua mang cut 685,304,,595231
SP41003637,Kem nho 235,245,,414231
SP49206330,Banh khoai tim 351,700,Mau ma đep,624119
SP39125240,Nuoc sau rieng 881,498,,210160
SP12910812,Snack bo 637,178,Hinh anh bat mat,430758
SP46602159,Snack sau rieng 762,164,,53085
SP61622357,Banh cam 310,714,,850993
SP88833511,Muc bo 509,770,,846761
SP92854417,Snack vai thieu 327,818,Co ich cho suc khoe,402560
SP54298471,Snack nhan 441,156,,180010
SP56602190,Kem dua 687,878,Thom ngon bo duong,996937
SP14298757,Banh hong xiem 970,878,,11951
SP53103836,Banh chuoi 704,315,,934607
SP64286884,Sua bap 852,328,,560365
SP50129868,Nuoc hong xiem 996,508,Thom ngon bo duong,413145
SP91859969,Sua khoai tim 732,997,,737516
SP16603548,Sua khoai tay 921,758,Hinh anh bat mat,457621
SP18891461,Banh nhan 569,174,,283034
SP79482225,Banh mang cut 585,242,,65076
SP61834410,Banh dau 342,454,,265083
SP85630095,Nuoc bap 448,252,Mau ma đep,572182
SP95826626,Nuoc khoai tay 452,734,,561094
SP24372305,Kem bap 603,435,Than thien voi moi truong,739653
SP61247042,Kem khoai tim 289,833,,625454
SP50640541,Muc bo 562,378,,517056
SP49130534,Banh dau 454,167,,721931
SP18006721,Banh xooai 729,304,Hinh anh bat mat,243879
SP15035026,Nuoc khoai tim 608,176,,52680
SP81792803,Banh bo 549,409,San pham tot,102172
SP62627001,Banh vai thieu 557,260,,816474
SP72079607,Nuoc dua 558,836,,538549
SP89767158,Snack bo 603,424,,133559
SP69345649,Banh dua 718,576,Mau ma đep,582671
SP70712328,Muc dua 240,733,,198460
SP18561231,Snack rong bien 982,177,Hinh anh bat mat,517416
SP68052860,Muc nho 198,903,,676846
SP59018264,Muc rong bien 316,298,,846177
SP42963123,Banh đao 173,856,,627210
SP85332844,Banh thanh long 898,600,Kieu dang tien loi,779811
SP65270229,Sua vai thieu 709,404,,252119
SP55301113,Kem chuoi 748,120,Thom ngon bo duong,256883
SP60308963,Snack vai thieu 515,764,,913782
SP75568172,Kem thanh long 450,112,,673576
SP21721550,Muc cam 200,145,,839823
SP67936800,Snack buoi 696,190,Ngon bo re,465807
SP98232064,Muc thanh long 773,355,,373307
SP74576161,Sua sau rieng 521,560,Hinh anh bat mat,110366
SP56955482,Banh dua 665,976,,871837
SP26954620,Banh nhan 314,898,,533508
SP27228851,Snack mo 945,201,,333774
SP62543445,Sua thanh long 531,232,Co ich cho suc khoe,497378
SP76991519,Banh khoai tay 595,254,,433384
SP26881390,Sua cam 778,390,Mau sac tuoi tan,209933
SP15064439,Snack thanh long 969,499,,592748
SP76598318,Kem man 721,239,,338844
SP48470456,Banh sau rieng 212,187,,298600
SP82723529,Banh cam 921,460,Kieu dang tien loi,948923
SP87680258,Snack sau rieng 801,708,,291567
SP93682708,Banh khoai tay 876,863,Hinh anh bat mat,353618
SP67948323,Muc khoai tay 997,102,,360668
SP22773478,Nuoc nhan 143,832,,847688
SP92308401,Muc khoai tim 297,810,,75446
SP13625030,Nuoc nho 965,798,Mau ma đep,115692
SP24145758,Kem buoi 614,694,,116014
SP62259672,Snack chuoi 207,417,Co ich cho suc khoe,116459
SP12429119,Muc vai thieu 620,704,,380600
SP58365467,Sua buoi 630,520,,709977
SP42801213,Kem vai thieu 979,343,,363330
SP83724609,Sua đao 785,338,Phu hop voi gia tien,586749
SP18903818,Banh man 511,151,,168963
SP66114187,Snack thanh long 256,565,Hinh anh bat mat,887847
SP31849550,Kem nho 162,977,,924061
SP89450388,Muc khoai tay 968,168,,907667
SP95136604,Muc thanh long 188,581,,745828
SP41630132,Banh dau 318,112,Phu hop voi gia tien,40442
SP62816923,Nuoc nho 422,808,,964834
SP75836425,Banh rong bien 440,106,Than thien voi moi truong,982103
SP41908545,Snack man 906,444,,116690
SP35081997,Banh vai thieu 386,432,,525711
SP54540570,Sua thanh long 919,143,,437534
SP24528930,Kem vai thieu 952,392,Than thien voi moi truong,907326
SP60154025,Kem sau rieng 162,576,,85196
SP83822529,Banh rong bien 292,134,Hinh anh bat mat,902522
SP93475475,Kem xooai 124,779,,181882
SP40117388,Nuoc cam 139,925,,823367
SP36620823,Banh quyt 781,656,,453672
SP69187448,Kem thanh long 774,277,Phu hop voi gia tien,672166
SP56260198,Kem nhan 517,628,,567081
SP41927911,Muc khoai tay 186,876,Ngon bo re,598973
SP79556603,Snack buoi 437,899,,333403
SP16405970,Sua khoai tay 328,348,,83613
SP34405625,Nuoc nhan 149,262,,291356
SP28273954,Sua bo 870,290,Kieu dang tien loi,411207
SP45976902,Sua sau rieng 893,241,,886758
SP83148754,Sua nhan 410,917,Co ich cho suc khoe,365248
SP97430555,Nuoc rong bien 831,738,,675331
SP26714339,Snack hong xiem 740,227,,737134
SP30602975,Banh sau rieng 171,686,,469045
SP62594590,Kem rong bien 797,994,Hinh anh bat mat,995394
SP19472504,Snack hong xiem 736,502,,882271
SP63320567,Sua mo 739,126,Mau ma đep,731607
SP52825861,Kem sau rieng 126,774,,222371
